exercise_name,session_exercises,user_text,event_type,severity
Calf Raise,Overhead Press; Calf Raise; Hamstring Curl; Squat; Romanian Deadlift; Dumbbell Fly; Barbell Row,"Felt good today, no issues.",none,na
Deadlift,Leg Press; Calf Raise; Lunge; Face Pull; Deadlift; Dumbbell Curl; Triceps Pushdown; Incline Bench Press,BTW leg press and face pull felt easy could add weight next time.,none,na
Hamstring Curl,Lateral Raise; Triceps Pushdown; Dumbbell Fly; Lunge; Hamstring Curl; Deadlift,hamstring curl too easy could increase load! dl absolutely brutal and I failed the last rep.,too_light,medium
Incline Bench Press,Leg Press; Lunge; Overhead Press; Incline Bench Press; Pull-Up; Squat; Hip Thrust,rack was occupied so I couldn't do glute bridge! leg press had 4 reps in reserve! bsq felt super heavy. Overall ok.,none,na
Bench Press,Deadlift; Triceps Pushdown; Face Pull; Squat; Bench Press; Hamstring Curl; Incline Bench Press; Barbell Row,barbell row was too heavy and I missed reps. flat bench felt super heavy and I missed reps. on dl my form broke down.,too_heavy,low
Hip Thrust,Hip Thrust; Romanian Deadlift; Deadlift; Overhead Press; Lunge; Leg Press,Solid session.,none,na
Dumbbell Fly,Lunge; Dumbbell Fly; Deadlift; Triceps Pushdown; Leg Press; Squat; Hip Thrust; Hamstring Curl,"db fly, press, and hamstring curl were too heavy!",too_heavy,low
Face Pull,Face Pull; Romanian Deadlift; Incline Bench Press; Triceps Pushdown; Squat; Hamstring Curl,incline bench smoked me.,none,na
Squat,Squat; Deadlift; Dumbbell Curl; Barbell Row; Hamstring Curl,leg curl smoked me. on curl my knees caved.,none,na
Hamstring Curl,Hamstring Curl; Barbell Row; Romanian Deadlift; Deadlift; Hip Thrust; Leg Press,romanian deadlift felt like warmup. hip thrust could go heavier next time add weight!,none,na
Dumbbell Curl,Barbell Row; Dumbbell Curl; Incline Bench Press; Face Pull; Romanian Deadlift,"Also, not recovered today! curl smoked me and I missed reps.",too_heavy,medium
Overhead Press,Barbell Row; Lat Pulldown; Face Pull; Overhead Press; Leg Extension; Pull-Up; Calf Raise; Hip Thrust,quad extension too easy could increase load.,none,na
Romanian Deadlift,Dumbbell Fly; Triceps Pushdown; Lunge; Romanian Deadlift; Hamstring Curl; Barbell Row; Lateral Raise,bb row had 4 reps in reserve next time add weight.,none,na
Incline Bench Press,Incline Bench Press; Dumbbell Curl; Bench Press; Romanian Deadlift; Barbell Row; Pull-Up,BTW chin-up missed reps. romanian deadlift could go heavier next time add weight!,none,na
Barbell Row,Barbell Row; Leg Press; Incline Bench Press; Hamstring Curl; Lunge; Lateral Raise; Overhead Press; Squat,Note: bsq missed reps. Will adjust next time.,none,na
Lateral Raise,Romanian Deadlift; Calf Raise; Lateral Raise; Incline Bench Press; Dumbbell Fly; Lunge; Hip Thrust,had to leave early so I cut rdl.,none,na
Lat Pulldown,Deadlift; Lateral Raise; Leg Extension; Hamstring Curl; Calf Raise; Bench Press; Lat Pulldown,benchpress missed reps! Need more rest.,none,na
Calf Raise,Lat Pulldown; Leg Extension; Hamstring Curl; Leg Press; Calf Raise; Dumbbell Fly,quad extension and pulldown felt easy could add weight next time. Need more rest.,none,na
Squat,Face Pull; Hamstring Curl; Squat; Overhead Press; Lunge; Hip Thrust; Calf Raise,on calf raise my back rounded.,none,na
Triceps Pushdown,Romanian Deadlift; Deadlift; Incline Bench Press; Lateral Raise; Lunge; Triceps Pushdown,rdl felt like warmup!,none,na
Incline Bench Press,Face Pull; Squat; Incline Bench Press; Leg Extension; Romanian Deadlift,felt gassed today.,none,na
Calf Raise,Leg Press; Hamstring Curl; Deadlift; Bench Press; Lunge; Calf Raise; Leg Extension; Pull-Up,time crunch so I cut flat bench! quad extension couldn't finish!,none,na
Lunge,Lunge; Triceps Pushdown; Leg Press; Squat; Barbell Row; Deadlift; Calf Raise,leg press could go heavier could increase load!,none,na
Squat,Hamstring Curl; Lat Pulldown; Lateral Raise; Squat; Dumbbell Curl; Triceps Pushdown; Bench Press,bad sleep today.,none,na
Barbell Row,Lunge; Barbell Row; Dumbbell Fly; Lat Pulldown; Deadlift,All good.,none,na
Romanian Deadlift,Overhead Press; Romanian Deadlift; Dumbbell Fly; Face Pull; Calf Raise; Deadlift; Lunge; Lateral Raise,Note: on side raise my lost tightness.,none,na
Pull-Up,Hip Thrust; Deadlift; Pull-Up; Hamstring Curl; Romanian Deadlift; Face Pull,pullup had 4 reps in reserve next time add weight.,too_light,medium
Romanian Deadlift,Barbell Row; Romanian Deadlift; Squat; Incline Bench Press; Overhead Press; Hamstring Curl; Deadlift; Bench Press,barbell row had felt sketchy in my ankle. on squat my lost tightness!,none,na
Dumbbell Fly,Lunge; Dumbbell Fly; Triceps Pushdown; Bench Press; Barbell Row; Hamstring Curl; Face Pull; Romanian Deadlift,"Also, split squat, rdl, and row felt light could add weight next time.",none,na
Dumbbell Fly,Barbell Row; Leg Extension; Deadlift; Pull-Up; Face Pull; Dumbbell Fly; Lunge,split squat had 4 reps in reserve!,none,na
Overhead Press,Incline Bench Press; Overhead Press; Face Pull; Deadlift; Bench Press; Hamstring Curl; Romanian Deadlift,incline press felt super heavy and I failed the last rep.,none,na
Leg Press,Leg Press; Leg Extension; Hamstring Curl; Lunge; Incline Bench Press,Note: split squat missed reps!,none,na
Overhead Press,Lunge; Pull-Up; Bench Press; Romanian Deadlift; Calf Raise; Overhead Press; Face Pull; Leg Extension,BTW stressful day today!,none,na
Overhead Press,Romanian Deadlift; Overhead Press; Calf Raise; Dumbbell Fly; Lat Pulldown; Dumbbell Curl; Lunge; Pull-Up,biceps curl smoked me and I missed reps!,none,na
Dumbbell Fly,Incline Bench Press; Bench Press; Dumbbell Fly; Hip Thrust; Calf Raise; Face Pull; Hamstring Curl; Romanian Deadlift,time crunch so I cut bp!,none,na
Barbell Row,Pull-Up; Dumbbell Fly; Overhead Press; Lunge; Barbell Row; Leg Extension; Deadlift,chin-up couldn't finish.,none,na
Squat,Triceps Pushdown; Lat Pulldown; Overhead Press; Leg Extension; Squat,pushdown had to stop early and I missed reps.,none,na
Dumbbell Curl,Lat Pulldown; Bench Press; Dumbbell Curl; Leg Press; Face Pull; Hamstring Curl; Triceps Pushdown; Hip Thrust,hip thrust too easy. rear delt had felt tight in my shoulder.,none,na
Hamstring Curl,Lateral Raise; Incline Bench Press; Lunge; Hip Thrust; Pull-Up; Hamstring Curl,Note: side raise had aching in my lower back.,none,na
Leg Press,Leg Press; Hamstring Curl; Barbell Row; Pull-Up; Lateral Raise; Hip Thrust; Dumbbell Fly,leg press and hip thrust felt easy.,too_light,high
Leg Extension,Face Pull; Lateral Raise; Hamstring Curl; Squat; Leg Extension; Dumbbell Curl; Barbell Row,Note: side raise missed reps. face pull missed reps.,none,na
Leg Press,Squat; Leg Press; Calf Raise; Deadlift; Lat Pulldown,Everything went fine.,none,na
Lat Pulldown,Overhead Press; Leg Press; Lat Pulldown; Dumbbell Fly; Pull-Up,All good.,none,na
Deadlift,Dumbbell Curl; Calf Raise; Incline Bench Press; Romanian Deadlift; Hip Thrust; Dumbbell Fly; Deadlift; Pull-Up,calves felt like warmup.,none,na
Leg Press,Calf Raise; Barbell Row; Leg Press; Pull-Up; Triceps Pushdown; Lat Pulldown; Face Pull; Hip Thrust,BTW bad sleep today.,none,na
Calf Raise,Leg Press; Romanian Deadlift; Leg Extension; Calf Raise; Incline Bench Press,Everything went fine.,none,na
Incline Bench Press,Incline Bench Press; Overhead Press; Deadlift; Face Pull; Pull-Up; Calf Raise,dl smoked me.,none,na
Lat Pulldown,Hip Thrust; Squat; Incline Bench Press; Dumbbell Curl; Lat Pulldown,lat pull-down and incline bnech were super heavy!,too_heavy,medium
Deadlift,Hip Thrust; Deadlift; Dumbbell Curl; Lat Pulldown; Face Pull; Calf Raise; Dumbbell Fly,"Felt good today, no issues.",none,na
Leg Press,Lunge; Barbell Row; Hip Thrust; Deadlift; Leg Press; Dumbbell Curl; Lat Pulldown; Incline Bench Press,time crunch so I cut barbell row. dl was too light. Need more rest.,none,na
Face Pull,Romanian Deadlift; Lunge; Hip Thrust; Lat Pulldown; Triceps Pushdown; Squat; Face Pull; Dumbbell Curl,"Also, face pull felt easy could increase load. Will adjust next time.",too_light,low
Lateral Raise,Leg Press; Barbell Row; Calf Raise; Lunge; Dumbbell Fly; Bench Press; Lateral Raise; Incline Bench Press,calf raise had hurt in my elbow.,none,na
Incline Bench Press,Dumbbell Curl; Hip Thrust; Hamstring Curl; Deadlift; Incline Bench Press; Pull-Up; Calf Raise,dumbbell curl too easy.,none,na
Leg Extension,Bench Press; Deadlift; Leg Extension; Lat Pulldown; Romanian Deadlift,bench too easy! couldn't finish accessories so I cut pull.,none,na
Lunge,Incline Bench Press; Lunge; Squat; Pull-Up; Leg Extension; Overhead Press; Dumbbell Fly,split squat was too light.,too_light,high
Lateral Raise,Dumbbell Fly; Lateral Raise; Incline Bench Press; Barbell Row; Calf Raise; Dumbbell Curl; Overhead Press,military press absolutely brutal.,none,na
Deadlift,Squat; Romanian Deadlift; Deadlift; Hip Thrust; Calf Raise; Lunge; Triceps Pushdown; Hamstring Curl,BTW bsq smoked me.,none,na
Hamstring Curl,Pull-Up; Hamstring Curl; Dumbbell Fly; Barbell Row; Triceps Pushdown; Bench Press,"Also, on hamstring curl my technique felt off.",form,medium
Hip Thrust,Lateral Raise; Squat; Deadlift; Hip Thrust; Bench Press; Romanian Deadlift; Triceps Pushdown,on benchpress my lost tightness. stressful day today!,none,na
Face Pull,Barbell Row; Deadlift; Dumbbell Fly; Romanian Deadlift; Overhead Press; Face Pull; Dumbbell Curl; Calf Raise,BTW db curl and ohp were too heavy.,none,na
Pull-Up,Dumbbell Fly; Pull-Up; Bench Press; Romanian Deadlift; Hamstring Curl; Leg Press; Lunge,time crunch so I cut bench!,none,na
Lateral Raise,Lateral Raise; Leg Extension; Deadlift; Triceps Pushdown; Face Pull,BTW face pull could go heavier next time add weight.,none,na
Face Pull,Pull-Up; Leg Press; Lat Pulldown; Face Pull; Triceps Pushdown,"Also, press was too heavy and I failed the last rep!",none,na
Face Pull,Overhead Press; Dumbbell Fly; Hamstring Curl; Bench Press; Face Pull; Dumbbell Curl; Incline Bench Press,"Also, shoulder press had pain in my wrist.",none,na
Hamstring Curl,Romanian Deadlift; Bench Press; Leg Extension; Lunge; Squat; Triceps Pushdown; Dumbbell Fly; Hamstring Curl,Everything went fine.,none,na
Dumbbell Fly,Leg Extension; Dumbbell Fly; Triceps Pushdown; Bench Press; Calf Raise; Hamstring Curl,ran out of time so I cut leg curl! on benchpress my back rounded. db fly could go heavier could increase load.,too_light,medium
Bench Press,Overhead Press; Romanian Deadlift; Dumbbell Curl; Bench Press; Lunge; Deadlift; Lat Pulldown,had to leave early so I cut split squat!,none,na
Pull-Up,Pull-Up; Triceps Pushdown; Barbell Row; Incline Bench Press; Leg Press,incline bnech and press were brutal and I couldn't finish all reps. Will adjust next time.,none,na
Leg Press,Triceps Pushdown; Overhead Press; Deadlift; Hamstring Curl; Leg Extension; Leg Press; Squat; Lunge,not recovered today. ngl,none,na
Overhead Press,Overhead Press; Incline Bench Press; Lunge; Calf Raise; Leg Extension; Squat; Deadlift,shoulder press too easy could increase load. pull absolutely brutal.,too_light,medium
Hamstring Curl,Hamstring Curl; Hip Thrust; Overhead Press; Lunge; Triceps Pushdown; Face Pull,BTW short on time so I cut leg curl!,time,medium
Bench Press,Dumbbell Fly; Calf Raise; Deadlift; Lateral Raise; Face Pull; Bench Press; Lat Pulldown,"rear delt, side raise, and bp felt easy could add weight next time.",too_light,medium
Leg Press,Bench Press; Pull-Up; Leg Press; Dumbbell Curl; Triceps Pushdown; Overhead Press,Everything went fine.,none,na
Deadlift,Bench Press; Incline Bench Press; Dumbbell Fly; Leg Extension; Face Pull; Barbell Row; Deadlift,on dumbbell fly my knees caved. row was too heavy and I failed the last rep! on face pull my couldn't keep balance. Need more rest.,none,na
Lateral Raise,Lunge; Romanian Deadlift; Lateral Raise; Triceps Pushdown; Bench Press; Hamstring Curl,on rdl my form broke down!,none,na
Romanian Deadlift,Leg Press; Deadlift; Incline Bench Press; Barbell Row; Hip Thrust; Hamstring Curl; Squat; Romanian Deadlift,not recovered today. felt low energy today.,other,medium
Face Pull,Incline Bench Press; Face Pull; Bench Press; Calf Raise; Hamstring Curl,on benchpress my knees caved. Will adjust next time.,none,na
Pull-Up,Deadlift; Calf Raise; Romanian Deadlift; Squat; Lunge; Incline Bench Press; Dumbbell Fly; Pull-Up,"Also, rdl had to stop early and I missed reps!",none,na
Lat Pulldown,Overhead Press; Dumbbell Fly; Barbell Row; Face Pull; Lat Pulldown,barbell row felt like warmup could increase load. face pull couldn't finish!,none,na
Lat Pulldown,Calf Raise; Dumbbell Fly; Lat Pulldown; Barbell Row; Face Pull; Triceps Pushdown; Overhead Press,"Also, db fly failed last set!",none,na
Squat,Dumbbell Fly; Leg Extension; Pull-Up; Hamstring Curl; Leg Press; Triceps Pushdown; Romanian Deadlift; Squat,quad extension had pain in my neck!,none,na
